"genes","Symbol","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"KRTAP3-1",NA,-5.60864827204506,-5.7978904163818,0.418637163641211,3.60995382357779e-11,3.52915961895486e-09
"C1QA",NA,1.87564721081367,1.87575147921451,7.20129716399598,3.87043216909138e-11,3.76587547068465e-09
"C17orf87",NA,1.98726945036625,1.99150442919362,2.02086132115786,5.02630366965598e-11,4.86745350651119e-09
"C4orf7",NA,3.33197810839213,3.33372983388977,4.68914577540532,5.36432665768862e-11,5.17040498978157e-09
"TREML1",NA,2.18417550242335,2.27538866035604,-1.6558309950899,5.4301188726571e-11,5.1960303911029e-09
"CD3G",NA,1.96023679136643,1.96321897848656,2.48573450131935,5.44153207056563e-11,5.1960303911029e-09
"C3orf43",NA,-4.02826949568546,-4.40036989703071,-1.6446677369425,5.67040452404698e-11,5.38950948512428e-09
"CXCR6",NA,1.89533275788886,1.89669231299639,3.53115414566773,5.98019731667555e-11,5.65776271480871e-09
"CLDN10",NA,-3.46169483586334,-3.47918204747406,1.55324494295546,6.28302687273971e-11,5.91699732556634e-09
"ICAM3",NA,1.74033404295434,1.7407737776742,4.96933997933279,7.66388933728743e-11,7.18445881710095e-09
"LTF",NA,3.10387460166515,3.10405720952266,7.71247735729231,7.87516296822673e-11,7.34895889716795e-09
"PTPRC",NA,1.93969903869732,1.93986256584407,6.62639188118996,8.01248694450659e-11,7.44327407107331e-09
"SUSD3",NA,1.79451382728736,1.79678625608398,2.68261293266637,8.17307156330352e-11,7.55825041417213e-09
"RIMS2",NA,-3.0603346863758,-3.08682488027175,0.594168158129887,9.18167782742032e-11,8.45290788327082e-09
"TRAF1",NA,1.59833507343556,1.59890617220902,4.420586538435,1.03193813690407e-10,9.45789729939309e-09
"NACAP1",NA,-2.50051618790671,-2.53473209166759,-0.272321139030462,1.05904606958521e-10,9.66320702603746e-09
"ITGB2",NA,1.8597448148052,1.85990995199709,6.52003829634747,1.06721872146615e-10,9.6946904211062e-09
"PYHIN1",NA,2.08515556081782,2.08979285738779,2.00100847597003,1.1608163343006e-10,1.04984842921547e-08
"SELL",NA,2.03743818261235,2.03803469592029,4.87396673766062,1.44497789265551e-10,1.30111386562358e-08
"XCR1",NA,2.37755807949201,2.39966778038305,0.173006607016153,1.65526791716554e-10,1.48395853010518e-08
"GRAPL",NA,2.25480813801798,2.29421528275416,-0.677961102476615,1.72164012751755e-10,1.53675094860588e-08
"CA6",NA,-4.84916592681162,-5.43185264920973,-1.43942153051847,1.75923382622908e-10,1.56350954339753e-08
"CTSW",NA,2.08898759156809,2.09117456146443,3.07054574493781,1.76845999643339e-10,1.56493464339559e-08
"PIK3CD",NA,1.63571434853607,1.63614601505774,4.86928985520896,1.79976165243402e-10,1.58579857186569e-08
"ZBTB32",NA,1.831549924354,1.84796873419339,0.00301416327870746,2.05353924734936e-10,1.80167353624283e-08
"MATK",NA,1.88422269441844,1.89041140594798,1.37632909244447,2.0897077504791e-10,1.82560426031217e-08
"C16orf54",NA,2.03076327559353,2.0330863192686,2.92002991780167,2.25771405203026e-10,1.964019893567e-08
"EOMES",NA,2.06199561025737,2.06588421901919,2.22252294689353,2.3773562641784e-10,2.05937232504567e-08
"AICDA",NA,2.76259944544891,2.81746511015193,-0.625116680615119,2.60427002297946e-10,2.24645645259531e-08
"LCN1",NA,5.8801812399253,6.38690006491187,-0.482634693047293,2.70360005655822e-10,2.32238113644938e-08
"HLA-DPB1",NA,1.81705697338841,1.81712342580936,7.78243740876109,2.83906015606203e-10,2.42857937516473e-08
"LOC283663",NA,2.16858199956988,2.17222784503805,2.43103678138098,2.94756226732363e-10,2.51093167419727e-08
"MIXL1",NA,2.40831729034831,2.46341729750064,-0.941269427441786,3.08192090674005e-10,2.61453868658567e-08
"CRTAM",NA,2.14540062695462,2.15657051495071,0.847711329267535,4.13811475728868e-10,3.49611094514965e-08
"HVCN1",NA,1.76229583659942,1.76343575496603,3.6282958042953,4.56090977240067e-10,3.83751957489286e-08
"CYTH4",NA,1.70800451999838,1.70872855676718,4.21422605350917,4.62284883614272e-10,3.87375863698e-08
"SIGLEC10",NA,1.97269529859398,1.97354749853246,4.28853576949829,4.89679240336231e-10,4.08663203418814e-08
"CECR1",NA,1.75391286261077,1.75406157910249,6.5463784534952,5.47171773899429e-10,4.54795000735031e-08
"AFP",NA,-6.75176718294804,-6.76011455560041,5.8710134182631,5.66806243536397e-10,4.6921500725009e-08
"FCAMR",NA,2.55306455516213,2.56019014440228,1.8937165708596,5.75167033522995e-10,4.74224064185827e-08
"FOXP3",NA,1.84542215438784,1.84732222108693,2.99537188580773,5.93449157057607e-10,4.87216127693368e-08
"HLA-DQB2",NA,2.20719872206471,2.20969543182351,3.0113003840716,5.95670959819948e-10,4.87216127693368e-08
"DTX1",NA,1.90204733317741,1.90323918514837,3.72713550946427,6.17181814053656e-10,5.02807247719109e-08
"SEZ6",NA,-2.86306195570329,-2.89121472149497,0.324679509412938,6.79192186857533e-10,5.51138956370955e-08
"BPIL1",NA,-6.39754718315072,-6.42193704539701,3.98457812590147,8.65483665346012e-10,6.99542505887938e-08
"KIAA1239",NA,-2.45114126903272,-2.47086497944423,0.395930605739193,9.19212480359745e-10,7.40056165560219e-08
"GRB7",NA,-2.36934798871223,-2.3695310374541,6.9395457697973,1.1252581316521e-09,9.02404275110066e-08
"CD96",NA,1.81314201470203,1.814041404242,4.02740886421247,1.21025817453298e-09,9.66793786893466e-08
"TMEM149",NA,1.57131312704437,1.57225097047798,3.67630907376891,1.29250986559037e-09,1.02849719149497e-07
"RBP5",NA,1.93835949164271,1.9434240567725,1.71460449052131,1.39179427275131e-09,1.1032253443855e-07
"GPR123",NA,-3.35658323849977,-3.4114034166662,-0.0741064175447029,1.45666339966777e-09,1.15020383058382e-07
"MYBPC2",NA,3.1722289887797,3.19639569375637,0.823385504907029,1.65267898225918e-09,1.29998082397628e-07
"CDH4",NA,-2.5465325748112,-2.61343836819766,-1.03365651919196,1.68277976732406e-09,1.31860567263981e-07
